group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,498707,4850.951851142867,12.740906923061274,2000.0,2505.005012389816,10245.584998684173,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,131464,8035.186446683359,378.22262239464214,2000.0,2063.939779114955,10859.2505892719,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,last_40,largest_cluster,261629,4867.993434523291,107.73822535825394,2000.0,2503.9222559236046,10211.971733294717,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,281520,4923.195399488125,29.2868967130897,2000.0,2492.5427419433922,10324.088807430775,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,chain_pair,all,largest_cluster,31092,1773.7907280588431,20.865254334817383,1000.0,947.7947999142345,2885.0280223686755,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,chain_pair,all,largest_cluster,5758,3173.191976977054,406.4268760448224,1000.0,1426.8104633725493,5072.005133135479,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,chain_pair,last_40,largest_cluster,20569,1815.1429244981248,28.73785279601294,1000.0,957.2963606767329,2930.9787828877506,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,chain_pair,all,largest_cluster,21453,1849.273095574318,25.064946125620196,1000.0,978.0856681714371,3046.468887178952,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,all,largest_cluster,112108,2252.4721410757625,20.215019096327307,1000.0,1327.0846473847469,4072.0869193539306,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,all,largest_cluster,21904,5919.912963461528,728.1516734712337,1000.0,1663.3914037161267,7703.20975431834,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,last_40,largest_cluster,66030,2348.1324761005703,35.251757894425246,1000.0,1378.1021650062394,4269.481240529718,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,all,largest_cluster,69213,2400.1450413071143,14.1812365828886,1000.0,1405.6062195596608,4441.085910848775,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,chain_pair,all,largest_cluster,28581,1671.1608558424275,24.502138311460957,1000.0,918.2403304206076,2646.931627101497,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,chain_pair,all,largest_cluster,1539,2125.7694977362867,85.27824382669267,1000.0,998.4268069722134,3607.7961363388085,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,chain_pair,last_40,largest_cluster,18766,1695.567047968494,9.351232482907513,1000.0,921.9299353616794,2681.868444640327,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,chain_pair,all,largest_cluster,19650,1731.3675376772874,30.95101806566819,1000.0,943.2914967330676,2794.8683629477246,0.8,8.0,100.0,1,60,3
